+------+--------------------------------------------------------------------------------------------------------------------------------+
| 编号 | 名称                                                                                                                           |
| 100  | 布达佩斯大饭店 / The Grand Budapest Hotel / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台)                                  |
| 101  | 驯龙高手 / How to Train Your Dragon / 驯龙记(港)                                                                               |
| 102  | 猫鼠游戏 / Catch Me If You Can / 逍遥法外  /  神鬼交锋(台)                                                                     |
| 103  | 狩猎 / Jagten / 谎言的烙印(台)  /  诬网(港)                                                                                    |
| 104  | 海洋 / Océans / Oceans  /  海洋                                                                                                |
| 105  | 摩登时代 / Modern Times / The Masses  /  Temps modernes, Les                                                                   |
| 106  | 燃情岁月 / Legends of the Fall / 秋日传奇  /  真爱一世情(台)                                                                   |
| 107  | 超脱 / Detachment / 人间师格(台)                                                                                               |
| 108  | 幸福终点站 / The Terminal / 机场客运站(港)  /  航站情缘(台)                                                                    |
| 109  | 电锯惊魂 / Saw / 夺魂锯  /  恐惧斗室                                                                                           |
| 110  | 谍影重重3 / The Bourne Ultimatum / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台)                                         |
| 111  | 神偷奶爸 / Despicable Me / 卑鄙的我  /  坏蛋奖门人(港)                                                                         |
| 112  | 菊次郎的夏天 / 菊次郎の夏 / Kikujirô no natsu  /  菊次郎的夏天                                                                 |
| 113  | 虎口脱险 / La grande vadrouille / 横冲直撞出重围(港)  /  大進擊(台)                                                            |
| 114  | 哈利·波特与魔法石 / Harry Potter and the Sorcerer's Stone / 哈利波特1：神秘的魔法石(港 / 台)                                   |
| 115  | 借东西的小人阿莉埃蒂 / 借りぐらしのアリエッティ / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港)                            |
| 116  | 末代皇帝 / The Last Emperor / 末代皇帝溥仪(港)                                                                                 |
| 117  | 真爱至上 / Love Actually / 爱是您，爱是我(台)  /  真的恋爱了(港)                                                               |
| 118  | 雨人 / Rain Man / 手足情未了  /  手足情深                                                                                      |
| 119  | 岁月神偷 / 歲月神偷 / 1969太空漫游  /  Echoes Of The Rainbow                                                                   |
| 120  | 贫民窟的百万富翁 / Slumdog Millionaire / 贫民百万富翁(台)  /  一百万零一夜(港)                                                 |
| 121  | 倩女幽魂 / 倩女幽魂(87版)  /  A Chinese Ghost Story                                                                            |
| 122  | 记忆碎片 / Memento / 失忆  /  记忆拼图                                                                                         |
| 123  | 疯狂原始人 / The Croods / 古鲁家族(港 / 台)                                                                                    |
| 124  | 东邪西毒 / 東邪西毒 / Ashes of Time                                                                                            |
| 125  | 穿条纹睡衣的男孩 / The Boy in the Striped Pajamas / 穿条纹衣服的男孩  /  穿条纹衣的男孩                                        |
| 126  | 七武士 / 七人の侍 / 七侠四义(港)  /  The Seven Samurai                                                                         |
| 127  | 怪兽电力公司 / Monsters, Inc. / 怪兽公司(港)  /  怪物公司                                                                      |
| 128  | 穿越时空的少女 / 時をかける少女 / 跳跃吧！时空少女(台)  /  Toki o kakeru shôjo                                                 |
| 129  | 魂断蓝桥 / Waterloo Bridge / 滑铁卢桥  /  断桥残梦                                                                             |
| 130  | 杀人回忆 / 살인의 추억 / 谋杀回忆  /  杀手回忆录                                                                               |
| 131  | 恐怖直播 / 더 테러 라이브 / 死亡“动”新闻(港)  /  恐怖攻击直播(台)                                                              |
| 132  | 消失的爱人 / Gone Girl / 失踪的女孩  /  失踪女孩                                                                               |
| 133  | 恋恋笔记本 / The Notebook / 深情日记  /  写我情真                                                                              |
| 134  | 卢旺达饭店 / Hotel Rwanda / 卢安达饭店(台)                                                                                     |
| 135  | 猜火车 / Trainspotting / 迷幻列车  /  定位的火车                                                                               |
| 136  | 黑天鹅 / Black Swan / 夺命黑天鹅  /  霸王别鹅(豆友译名)                                                                        |
| 137  | 红辣椒 / パプリカ / 盗梦侦探  /  帕布莉卡                                                                                      |
| 138  | 傲慢与偏见 / Pride & Prejudice / 傲慢与偏见2005  /  Pride And Prejudice                                                        |
| 139  | 教父3 / The Godfather: Part III / 教父第三集  /  教父 III                                                                      |
| 140  | 英雄本色 / A Better Tomorrow  /  Gangland Boss                                                                                 |
| 141  | 完美的世界 / A Perfect World / 强盗保镳                                                                                        |
| 142  | 玩具总动员3 / Toy Story 3 / 反斗奇兵3(港)  /  玩具的故事3                                                                      |
| 143  | 人工智能 / Artificial Intelligence: AI / AI人工智慧                                                                            |
| 144  | 喜宴 / The Wedding Banquet                                                                                                     |
| 145  | 我是山姆 / I Am Sam / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台)                                                              |
| 146  | 纵横四海 / 緃横四海 / Once a Thief                                                                                             |
| 147  | 雨中曲 / Singin' in the Rain / 雨中情  /  万花嬉春                                                                             |
| 148  | 萤火之森 / 蛍火の杜へ / 萤火之社  /  Hotarubi no mori e                                                                        |
| 149  | 香水 / Perfume: The Story of a Murderer / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事                                    |
| 150  | 冰川时代 / Ice Age / 冰河世纪  /  冰原历险记                                                                                   |
| 151  | 秒速5厘米 / 秒速5センチメートル / 秒速五厘米  /  秒速5公分                                                                     |
| 152  | 撞车 / Crash / 冲击效应  /  冲撞                                                                                               |
| 153  | 浪潮 / Die Welle / 恶魔教室(台)  /  白恤暴潮(港)                                                                               |
| 154  | 小森林 夏秋篇 / リトル・フォレスト 夏・秋 / 小森食光 / 夏秋篇(台)                                                              |
| 155  | 碧海蓝天 / Le grand bleu / 碧海情深  /  夜海倾情                                                                               |
| 156  | 朗读者 / The Reader / 为爱朗读(台)  /  读爱(港)                                                                                |
| 157  | 喜剧之王 / 喜劇之王 / King of Comedy                                                                                           |
| 158  | 追随 / Following / 致命追踪  /  跟踪                                                                                           |
| 159  | 哈利·波特与死亡圣器(下) / Harry Potter and the Deathly Hallows: Part 2 / 哈利波特7：死神的圣物2(港 / 台)                       |
| 160  | 7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港)  /  7号囚房的礼物                                                                  |
| 161  | 可可西里 / Kekexili: Mountain Patrol                                                                                           |
| 162  | 战争之王 / Lord of War / 军火之王(台 / 港)                                                                                     |
| 163  | 梦之安魂曲 / Requiem for a Dream / 噩梦挽歌(台)  /  迷上瘾(港)                                                                 |
| 164  | 罗生门 / 羅生門 / Rashomon                                                                                                     |
| 165  | 海盗电台 / The Boat That Rocked / 出位乐人谷(港)  /  海盗电波                                                                  |
| 166  | 花样年华 / 花樣年華 / In the Mood for Love                                                                                     |
| 167  | 一次别离 / جدایی نادر از سیمین / 分居风暴(台)  /  伊朗式分居(港)                                                               |
| 168  | 迁徙的鸟 / Le peuple migrateur / 鸟的迁徙  /  鸟与梦飞行                                                                       |
| 169  | 谍影重重 / The Bourne Identity / 叛谍追击(港)  /  神鬼认证(台)                                                                 |
| 170  | 谍影重重2 / The Bourne Supremacy / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台)                                          |
| 171  | 荒野生存 / Into the Wild / 浪荡天涯(港)  /  阿拉斯加之死(台)                                                                   |
| 172  | 心迷宫 / 殡棺  /  The Coffin in the Mountain                                                                                   |
| 173  | 唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar                                                                                 |
| 174  | 地球上的星星 / Taare Zameen Par / 心中的小星星(台)  /  每一个孩子都是特别的                                                    |
| 175  | 勇闯夺命岛 / The Rock / 石破天惊  /  绝地任务                                                                                  |
| 176  | 燕尾蝶 / スワロウテイル / Swallowtail Butterfly  /  Suwarôteiru                                                                |
| 177  | 超能陆战队 / Big Hero 6 / 大英雄联盟(港)  /  大英雄天团(台)                                                                    |
| 178  | 绿里奇迹 / The Green Mile / 绿色奇迹(台)  /  绿色英里                                                                          |
| 179  | 阿飞正传 / 阿飛正傳 / Days of Being Wild                                                                                       |
| 180  | 时空恋旅人 / About Time / 时空旅恋人  /  回到最爱的一天(港)                                                                    |
| 181  | 卡萨布兰卡 / Casablanca / 北非谍影(港)  /  卡萨布兰卡                                                                          |
| 182  | 蝙蝠侠：黑暗骑士崛起 / The Dark Knight Rises / 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台)                            |
| 183  | 英国病人 / The English Patient / 英伦情人(台)  /  别问我是谁(港)                                                               |
| 184  | 惊魂记 / Psycho / 精神病患者  /  触目惊心                                                                                      |
| 185  | 恐怖游轮 / Triangle / 汪洋血迷宮(台)  /  轮回三角                                                                              |
| 186  | 魔女宅急便 / 魔女の宅急便 / 魔女琪琪(台)  /  小魔女限时专送                                                                    |
| 187  | 变脸 / Face/Off / 夺面双雄                                                                                                     |
| 188  | 叫我第一名 / Front of the Class / 开放有爱  /  站在教室前                                                                      |
| 189  | 这个男人来自地球 / The Man from Earth / 地球不死人(港)  /  这个人来自洞穴                                                      |
| 190  | E.T. 外星人 / E.T.: The Extra-Terrestrial / 外星人E.T.  /  外星人                                                              |
| 191  | 再次出发之纽约遇见你 / Begin Again / 再次出发  /  歌曲改变人生                                                                 |
